ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
16156	NCMMashi5	bird	àɲə́nə́ / bìnɲə́nə́ ~ mʊ̀ɲə́nə́	àɲə́nə́	a.¹/a ɲ ə.⁵/ə n ə.⁵/ə		7 4 7 4 7	XBYBZ	ANENE	32	32.A.V 32.N.C 32.E.V 32.N.C 32.E.V	1.5 1.75 1.3 1.75 0.8	a.¹/aɲə.⁵/ənə.⁵/ə	0	177	- a.¹/a ɲ - - ə.⁵/ə - n ə.⁵/ə
3505	NVBAbar7	bitter leaf	òtòn~ʊ́tʊ́n / òtʊ̀nò~ɪ̀tʊ̀nò	òtòn	o.¹/o t o.¹/o n		7 1 7 4	XBYN	UTUN	44	44.U.V 44.T.C 44.U.V 44.N.c	1.5 1.75 1.3 0.8	o.¹/oto.¹/on	0	216	- o.¹/o t - o.¹/o n
3506	ECLAbar8	bitter leaf	ʊ̀tʊ̀n / kɪ̀tʊ̀nò	ʊ̀tʊ̀n	ʊ.¹/ʊ t ʊ.¹/ʊ n		7 1 7 4	XBYN	YTYN	11	11.Y.V 11.T.C 11.Y.V 11.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊtʊ.¹/ʊn	0	216	- ʊ.¹/ʊ t - ʊ.¹/ʊ n
3507	NMAAbar1	bitter leaf	ʊ́tʊ̂n / kítʊ̂nò	ʊ́tʊ̂n	ʊ.⁵/ʊ t ʊ.¹⁵/ʊ n		7 1 7 4	XBYN	YTYN	39	39.Y.V 39.T.C 39.Y.V 39.N.c	1.5 1.75 1.3 0.8	ʊ.⁵/ʊtʊ.¹⁵/ʊn	0	216	- ʊ.⁵/ʊ t - ʊ.¹⁵/ʊ n
3508	NACAbar2	bitter leaf	ʊ́tʊ̂n / kìtʊ̀nò	ʊ́tʊ̂n	ʊ.⁵/ʊ t ʊ.¹⁵/ʊ n		7 1 7 4	XBYN	YTYN	30	30.Y.V 30.T.C 30.Y.V 30.N.c	1.5 1.75 1.3 0.8	ʊ.⁵/ʊtʊ.¹⁵/ʊn	0	216	- ʊ.⁵/ʊ t - ʊ.¹⁵/ʊ n
3509	NEMAjumbu9	bitter leaf	tʃɥɪ́ɲ / kə́tʃɥɪ́ɲnə́	tʃɥɪ́ɲ	tʃ ɥ ɪ.⁵/ɪ ɲ		1 6 7 4	ACXN	TJIN	35	35.T.C 35.J.C 35.I.V 35.N.c	2.0 1.5 1.5 0.8	tʃɥɪ.⁵/ɪɲ	0	195	tʃ ɥ ɪ.⁵/ɪ - ɲ
3510	NVIAjumbu1	bitter leaf	tʃwɪ᷇ːn / ə́kə́tʃwɪ́nlə́~kə́tʃwɪ́nlə́	tʃwɪ᷇ːn	tʃ w ɪː.⁵³/ɪː n		1 6 7 4	ACXN	TWIN	45	45.T.C 45.W.C 45.I.V 45.N.c	2.0 1.5 1.5 0.8	tʃwɪː.⁵³/ɪːn	0	216	- - tʃ w ɪː.⁵³/ɪː n
3511	KMNAjumbu2	bitter leaf	tsɥɪ́ɲ / kə́tsɥɪ́ɲlə́	tsɥɪ́ɲ	ts ɥ ɪ.⁵/ɪ ɲ		2 6 7 4	ACXN	CJIN	24	24.C.C 24.J.C 24.I.V 24.N.c	2.0 1.5 1.5 0.8	tsɥɪ.⁵/ɪɲ	0	195	ts ɥ ɪ.⁵/ɪ - ɲ
3512	KDCAjumbu10	bitter leaf	tʃʷɪ́ɲ / kə́tʃʷɪ́ːnə́	tʃʷɪ́ɲ	tʃʷ ɪ.⁵/ɪ ɲ		1 7 4	AXN	TIN	18	18.T.C 18.I.V 18.N.c	2.0 1.5 0.8	tʃʷɪ.⁵/ɪɲ	0	216	- - tʃʷ - ɪ.⁵/ɪ ɲ
3513	ENBBiya1	bitter leaf	ʊ̀tàn / ʊ̀tàn	ʊ̀tàn	ʊ.¹/ʊ t a.¹/a n		7 1 7 4	XBYN	YTAN	12	12.Y.V 12.T.C 12.A.V 12.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊta.¹/an	0	216	- ʊ.¹/ʊ t - a.¹/a n
3514	ICNBiya2	bitter leaf	ʊ̄tān / ʊ̄tān	ʊ̄tān	ʊ.³/ʊ t a.³/a n		7 1 7 4	XBYN	YTAN	13	13.Y.V 13.T.C 13.A.V 13.N.c	1.5 1.75 1.3 0.8	ʊ.³/ʊta.³/an	0	216	- ʊ.³/ʊ t - a.³/a n
3515	NNBBuu3	bitter leaf	tʃʊ́n / kə́tʃʊ̂ntə́	tʃʊ́n	tʃ ʊ.⁵/ʊ n		1 7 4	AXN	TYN	42	42.T.C 42.Y.V 42.N.c	2.0 1.5 0.8	tʃʊ.⁵/ʊn	0	216	- - tʃ - ʊ.⁵/ʊ n
3516	MNJBuu4	bitter leaf	tʃóːn / kə́tʃóntə́	tʃóːn	tʃ oː.⁵/oː n		1 7 4	AXN	TUN	28	28.T.C 28.U.V 28.N.c	2.0 1.5 0.8	tʃoː.⁵/oːn	0	216	- - tʃ - oː.⁵/oː n
3517	KEMBuu1	bitter leaf	tʃón / kə́tʃóntə̄	tʃón	tʃ o.⁵/o n		1 7 4	AXN	TUN	20	20.T.C 20.U.V 20.N.c	2.0 1.5 0.8	tʃo.⁵/on	0	216	- - tʃ - o.⁵/o n
3518	KCYBuu2	bitter leaf	tʃón / kə́tʃóntə́	tʃón	tʃ o.⁵/o n		1 7 4	AXN	TUN	17	17.T.C 17.U.V 17.N.c	2.0 1.5 0.8	tʃo.⁵/on	0	216	- - tʃ - o.⁵/o n
3519	KHKFang12	bitter leaf	wɨ́ɣ / tə̀wúkə̄	wɨ́ɣ	w ɨ.⁵/ɨ ɣ		6 7 3	AXN	WIG	22	22.W.C 22.I.V 22.G.c	2.0 1.5 0.8	wɨ.⁵/ɨɣ	0	201	w ɨ.⁵/ɨ ɣ
3520	DPNFang13	bitter leaf	wɨ́ɣ / tə̀wɨ́ɣkə̄	wɨ́ɣ	w ɨ.⁵/ɨ ɣ		6 7 3	AXN	WIG	10	10.W.C 10.I.V 10.G.c	2.0 1.5 0.8	wɨ.⁵/ɨɣ	0	201	w ɨ.⁵/ɨ ɣ
3521	KDVFang1	bitter leaf	wɯ́ɣ / tə̀wɯ́ɣkə̄	wɯ́ɣ	w ɯ.⁵/ɯ ɣ		6 7 3	AXN	WIG	19	19.W.C 19.I.V 19.G.c	2.0 1.5 0.8	wɯ.⁵/ɯɣ	0	201	w ɯ.⁵/ɯ ɣ
3522	KJSFang2	bitter leaf	wɯ́ɣ / tə́wɯ́ɣkə̄	wɯ́ɣ	w ɯ.⁵/ɯ ɣ		6 7 3	AXN	WIG	23	23.W.C 23.I.V 23.G.c	2.0 1.5 0.8	wɯ.⁵/ɯɣ	0	201	w ɯ.⁵/ɯ ɣ
3523	JGYKoshin3	bitter leaf	wə́ / tə́wə́	wə́	w ə.⁵/ə		6 7	AX	WE	14	14.W.C 14.E.V	2.0 1.5	wə.⁵/ə	0	201	w ə.⁵/ə -
3524	TELKoshin4	bitter leaf	wə̂lʊ̂ːlə́ ~ wə́ / tə́wə́tə̀lʊ̂lə́	wə̂lʊ̂ːlə́	w ə.⁵¹/ə l ʊː.⁵¹/ʊː l ə.⁵/ə		6 7 5 7 5 7	AXBYBZ	WELYLE	46	46.W.C 46.E.V 46.L.C 46.Y.V 46.L.C 46.E.V	2.0 1.5 1.75 1.3 1.75 0.8	wə.⁵¹/əlʊː.⁵¹/ʊːlə.⁵/ə	0	237	w ə.⁵¹/ə l ʊː.⁵¹/ʊː l ə.⁵/ə
3525	MRYKoshin2	bitter leaf	wə̄ / ø	wə̄	w ə.³/ə		6 7	AX	WE	29	29.W.C 29.E.V	2.0 1.5	wə.³/ə	0	201	w ə.³/ə -
3526	KCSKung3	bitter leaf	sə̀wéʲ / wéʲsə́ɣ	sə̀wéʲ	s ə.¹/ə w e.⁵/e j		3 7 6 7 6	AXBYN	SEWEJ	16	16.S.C 16.E.V 16.W.C 16.E.V 16.J.c	2.0 1.5 1.75 1.3 0.8	sə.¹/əwe.⁵/ej	0	198	s ə.¹/ə w e.⁵/e - j
3527	NJSKung4	bitter leaf	ɪ̀wéʲ / sə̀wéʲ	ɪ̀wéʲ	ɪ.¹/ɪ w e.⁵/e j		7 6 7 6	XBYN	IWEJ	38	38.I.V 38.W.C 38.E.V 38.J.c	1.5 1.75 1.3 0.8	ɪ.¹/ɪwe.⁵/ej	0	198	- ɪ.¹/ɪ w e.⁵/e - j
3528	ZKGKung1	bitter leaf	íwɛ́ɪ́ / sə̀wɛ́ɪ́	íwɛ́ɪ́	i.⁵/i w ɛ.⁵/ɛ ɪ.⁵/ɪ		7 6 7 7	XBYZ	IWEI	49	49.I.V 49.W.C 49.E.V 49.I.V	1.5 1.75 1.3 0.8	i.⁵/iwɛ.⁵/ɛɪ.⁵/ɪ	0	198	- i.⁵/i w ɛ.⁵/ɛ ɪ.⁵/ɪ -
3529	BNMKung2	bitter leaf	íwɛ́ɪ́ / sə̀wɛ́ɪ́	íwɛ́ɪ́	i.⁵/i w ɛ.⁵/ɛ ɪ.⁵/ɪ		7 6 7 7	XBYZ	IWEI	7	7.I.V 7.W.C 7.E.V 7.I.V	1.5 1.75 1.3 0.8	i.⁵/iwɛ.⁵/ɛɪ.⁵/ɪ	0	198	- i.⁵/i w ɛ.⁵/ɛ ɪ.⁵/ɪ -
3530	NMNMundabli3	bitter leaf	tsʷán~tsʷān / tsʷán~tsʷān	tsʷán	tsʷ a.⁵/a n		1 7 4	AXN	TAN	40	40.T.C 40.A.V 40.N.c	2.0 1.5 0.8	tsʷa.⁵/an	0	216	- - tsʷ - a.⁵/a n
3531	CENMundabli2	bitter leaf	tsʷān~tsūān / tsʷán~tsúán	tsʷān	tsʷ a.³/a n		1 7 4	AXN	TAN	8	8.T.C 8.A.V 8.N.c	2.0 1.5 0.8	tsʷa.³/an	0	216	- - tsʷ - a.³/a n
3532	LFNMundabli1	bitter leaf	tsʊ̄ān / tsʊ̄ānbó	tsʊ̄ān	ts ʊ.³/ʊ a.³/a n		2 7 7 4	AXYN	CYAN	25	25.C.C 25.Y.V 25.A.V 25.N.c	2.0 1.5 1.3 0.8	tsʊ.³/ʊa.³/an	0	216	- - ts ʊ.³/ʊ a.³/a n
3533	NINMundabli4	bitter leaf	tsūān / tsūānwó	tsūān	ts u.³/u a.³/a n		2 7 7 4	AXYN	CYAN	37	37.C.C 37.Y.V 37.A.V 37.N.c	2.0 1.5 1.3 0.8	tsu.³/ua.³/an	0	216	- - ts u.³/u a.³/a n
3534	NGTMunken3	bitter leaf	ʊ̀tàn / kítánə̄	ʊ̀tàn	ʊ.¹/ʊ t a.¹/a n		7 1 7 4	XBYN	YTAN	36	36.Y.V 36.T.C 36.A.V 36.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊta.¹/an	0	216	- ʊ.¹/ʊ t - a.¹/a n
3535	NUNMunken4	bitter leaf	ʊ̀tàn / ʊ́tân~kìtàn~kìtānā	ʊ̀tàn	ʊ.¹/ʊ t a.¹/a n		7 1 7 4	XBYN	YTAN	43	43.Y.V 43.T.C 43.A.V 43.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊta.¹/an	0	216	- ʊ.¹/ʊ t - a.¹/a n
3536	NEAMunken1	bitter leaf	àtàn / ʊ̀tàn	àtàn	a.¹/a t a.¹/a n		7 1 7 4	XBYN	ATAN	34	34.A.V 34.T.C 34.A.V 34.N.c	1.5 1.75 1.3 0.8	a.¹/ata.¹/an	0	216	- a.¹/a t - a.¹/a n
3537	MCANgun3	bitter leaf	ʊ̀tàn / bìtàn~átàn	ʊ̀tàn	ʊ.¹/ʊ t a.¹/a n		7 1 7 4	XBYN	YTAN	26	26.Y.V 26.T.C 26.A.V 26.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊta.¹/an	0	216	- ʊ.¹/ʊ t - a.¹/a n
3538	KBMNgun4	bitter leaf	ʊ̀tàn / ɪ̀tàn~kə̀tànə́	ʊ̀tàn	ʊ.¹/ʊ t a.¹/a n		7 1 7 4	XBYN	YTAN	15	15.Y.V 15.T.C 15.A.V 15.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊta.¹/an	0	216	- ʊ.¹/ʊ t - a.¹/a n
3539	WCANgun1	bitter leaf	ʊ̀tàn / kə̀ʊ̀tàːnœ̀	ʊ̀tàn	ʊ.¹/ʊ t a.¹/a n		7 1 7 4	XBYN	YTAN	48	48.Y.V 48.T.C 48.A.V 48.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊta.¹/an	0	216	- ʊ.¹/ʊ t - a.¹/a n
3540	AOMNgun2	bitter leaf	ʊ̄tán / bìʊ̀tàn ~bìtàn	ʊ̄tán	ʊ.³/ʊ t a.⁵/a n		7 1 7 4	XBYN	YTAN	3	3.Y.V 3.T.C 3.A.V 3.N.c	1.5 1.75 1.3 0.8	ʊ.³/ʊta.⁵/an	0	216	- ʊ.³/ʊ t - a.⁵/a n
3541	APBMumfu1	bitter leaf	ƙɥūān / ƙɥūānwə̄	ƙɥūān	q ɥ u.³/u a.³/a n		1 6 7 7 4	ACXYN	KJYAN	4	4.K.C 4.J.C 4.Y.V 4.A.V 4.N.c	2.0 1.5 1.5 1.3 0.8	qɥu.³/ua.³/an	0	195	q ɥ u.³/u a.³/a n
3542	DNMMumfu2	bitter leaf	kɥán / ø	kɥán	k ɥ a.⁵/a n		1 6 7 4	ACXN	KJAN	9	9.K.C 9.J.C 9.A.V 9.N.c	2.0 1.5 1.5 0.8	kɥa.⁵/an	0	195	k ɥ a.⁵/a - n
3543	BKBMashi2	bitter leaf	wʊ́tʃʊ́ / ø	wʊ́tʃʊ́	w ʊ.⁵/ʊ tʃ ʊ.⁵/ʊ		6 7 1 7	AXBZ	WYTY	6	6.W.C 6.Y.V 6.T.C 6.Y.V	2.0 1.5 1.75 0.8	wʊ.⁵/ʊtʃʊ.⁵/ʊ	0	216	w ʊ.⁵/ʊ tʃ - ʊ.⁵/ʊ -
3544	KFKMashi1	bitter leaf	ʊ́tʃʊ́ / ø	ʊ́tʃʊ́	ʊ.⁵/ʊ tʃ ʊ.⁵/ʊ		7 1 7	XBZ	YTY	21	21.Y.V 21.T.C 21.Y.V	1.5 1.75 0.8	ʊ.⁵/ʊtʃʊ.⁵/ʊ	0	216	- ʊ.⁵/ʊ tʃ - ʊ.⁵/ʊ -
3545	ABSMissong1	bitter leaf	ʊ̀tòːn / ìtòːn	ʊ̀tòːn	ʊ.¹/ʊ t oː.¹/oː n		7 1 7 4	XBYN	YTUN	1	1.Y.V 1.T.C 1.U.V 1.N.c	1.5 1.75 1.3 0.8	ʊ.¹/ʊtoː.¹/oːn	0	216	- ʊ.¹/ʊ t - oː.¹/oː n
3546	AGAMissong2	bitter leaf	ótôn / ótónwú	ótôn	o.⁵/o t o.⁵¹/o n		7 1 7 4	XBYN	UTUN	2	2.U.V 2.T.C 2.U.V 2.N.c	1.5 1.75 1.3 0.8	o.⁵/oto.⁵¹/on	0	216	- o.⁵/o t - o.⁵¹/o n
15255	NCCMumfu4	bitter leaf	kɥán / kɥán	kɥán	k ɥ a.⁵/a n		1 6 7 4	ACXN	KJAN	31	31.K.C 31.J.C 31.A.V 31.N.c	2.0 1.5 1.5 0.8	kɥa.⁵/an	0	195	k ɥ a.⁵/a - n
15256	MEAMumfu3	bitter leaf	kɥán / kɥán	kɥán	k ɥ a.⁵/a n		1 6 7 4	ACXN	KJAN	27	27.K.C 27.J.C 27.A.V 27.N.c	2.0 1.5 1.5 0.8	kɥa.⁵/an	0	195	k ɥ a.⁵/a - n
15707	NMSMissong4	bitter leaf	òtòːn / ɪ̀tòːn	òtòːn	o.¹/o t oː.¹/oː n		7 1 7 4	XBYN	UTUN	41	41.U.V 41.T.C 41.U.V 41.N.c	1.5 1.75 1.3 0.8	o.¹/otoː.¹/oːn	0	216	- o.¹/o t - oː.¹/oː n
15708	NDNMissong5	bitter leaf	ʊ́tôn / kìtònnə̀	ʊ́tôn	ʊ.⁵/ʊ t o.⁵¹/o n		7 1 7 4	XBYN	YTUN	33	33.Y.V 33.T.C 33.U.V 33.N.c	1.5 1.75 1.3 0.8	ʊ.⁵/ʊto.⁵¹/on	0	216	- ʊ.⁵/ʊ t - o.⁵¹/o n
16157	BAAMashi4	bitter leaf	ʊ́tʃúː / ʊ̀tʃùːwə́	ʊ́tʃúː	ʊ.⁵/ʊ tʃ uː.⁵/uː		7 1 7	XBZ	YTY	5	5.Y.V 5.T.C 5.Y.V	1.5 1.75 0.8	ʊ.⁵/ʊtʃuː.⁵/uː	0	216	- ʊ.⁵/ʊ tʃ - uː.⁵/uː -
16158	NCMMashi5	bitter leaf	wɪ̄tʃū / wɪ̄tʃū	wɪ̄tʃū	w ɪ.³/ɪ tʃ u.³/u		6 7 1 7	AXBZ	WITY	32	32.W.C 32.I.V 32.T.C 32.Y.V	2.0 1.5 1.75 0.8	wɪ.³/ɪtʃu.³/u	0	216	w ɪ.³/ɪ tʃ - u.³/u -
2598	NVBAbar7	blood	ánʃám / ánʃám~ńʃámmʷɪ̂	ánʃám	a.⁵/a n ʃ a.⁵/a m		7 4 3 7 4	XMBYN	ANSAM	44	44.A.V 44.N.c 44.S.C 44.A.V 44.M.c	1.5 1.1 1.75 1.3 0.8	a.⁵/anʃa.⁵/am	0	242	- a.⁵/a n ʃ a.⁵/a m
2599	ECLAbar8	blood	ǹʃám / mʷɪ̀nʃám~ǹʃǎm	ǹʃám	n.¹/n ʃ a.⁵/a m		4 3 7 4	ACYN	NSAM	11	11.N.C 11.S.C 11.A.V 11.M.c	2.0 1.5 1.3 0.8	n.¹/nʃa.⁵/am	0	242	- - n.¹/n ʃ a.⁵/a m
2600	NMAAbar1	blood	ńʃám / mwɨ̃́nʃám	ńʃám	n.⁵/n ʃ a.⁵/a m		4 3 7 4	ACYN	NSAM	39	39.N.C 39.S.C 39.A.V 39.M.c	2.0 1.5 1.3 0.8	n.⁵/nʃa.⁵/am	0	242	- - n.⁵/n ʃ a.⁵/a m
2601	NACAbar2	blood	ānʃāːm / mə̀nʃāːm	ānʃāːm	a.³/a n ʃ aː.³/aː m		7 4 3 7 4	XMBYN	ANSAM	30	30.A.V 30.N.c 30.S.C 30.A.V 30.M.c	1.5 1.1 1.75 1.3 0.8	a.³/anʃaː.³/aːm	0	242	- a.³/a n ʃ aː.³/aː m
2602	NEMAjumbu9	blood	m̩̀fʷɪ́ɲ / m̩̀fʷɪ́nlə́	m̩̀fʷɪ́ɲ	m.¹/m fʷ ɪ.⁵/ɪ ɲ		4 3 7 4	ACYN	MBIN	35	35.M.C 35.B.C 35.I.V 35.N.c	2.0 1.5 1.3 0.8	m.¹/mfʷɪ.⁵/ɪɲ	0	240	m.¹/m fʷ - ɪ.⁵/ɪ - ɲ
2603	NVIAjumbu1	blood	mfwɪ́n / ə̀mfwɪ́n	mfwɪ́n	m f w ɪ.⁵/ɪ n		4 3 6 7 4	ACCYN	MBWIN	45	45.M.C 45.B.C 45.W.C 45.I.V 45.N.c	2.0 1.5 1.5 1.3 0.8	mfwɪ.⁵/ɪn	0	240	m f w ɪ.⁵/ɪ - n
2604	KMNAjumbu2	blood	fə̀fwɪ́ɲ / m̀fwɪ́ɲ	fə̀fwɪ́ɲ	f ə.¹/ə f w ɪ.⁵/ɪ ɲ		3 7 3 6 7 4	AXBCYN	BEBWIN	24	24.B.C 24.E.V 24.B.C 24.W.C 24.I.V 24.N.c	2.0 1.5 1.75 1.5 1.3 0.8	fə.¹/əfwɪ.⁵/ɪɲ	0	261	f ə.¹/ə f w ɪ.⁵/ɪ ɲ
2605	KDCAjumbu10	blood	m̩̀fɥɪ́ɲ / m̩̀fɥɪ́ɲ	m̩̀fɥɪ́ɲ	m.¹/m f ɥ ɪ.⁵/ɪ ɲ		4 3 6 7 4	ACCYN	MBJIN	18	18.M.C 18.B.C 18.J.C 18.I.V 18.N.c	2.0 1.5 1.5 1.3 0.8	m.¹/mfɥɪ.⁵/ɪɲ	0	240	m.¹/m f ɥ ɪ.⁵/ɪ - ɲ
2606	ENBBiya1	blood	ḿ̩fʲám / ḿ̩fʲám	ḿ̩fʲám	m.⁵/m fʲ a.⁵/a m		4 3 7 4	ACYN	MBAM	12	12.M.C 12.B.C 12.A.V 12.M.c	2.0 1.5 1.3 0.8	m.⁵/mfʲa.⁵/am	0	240	m.⁵/m fʲ - a.⁵/a - m
2607	ICNBiya2	blood	m̩̀fʲám / m̩̀fʲám	m̩̀fʲám	m.¹/m fʲ a.⁵/a m		4 3 7 4	ACYN	MBAM	13	13.M.C 13.B.C 13.A.V 13.M.c	2.0 1.5 1.3 0.8	m.¹/mfʲa.⁵/am	0	240	m.¹/m fʲ - a.⁵/a - m
2608	NNBBuu3	blood	ǹʃʷóm / ø	ǹʃʷóm	n.¹/n ʃʷ o.⁵/o m		4 3 7 4	ACYN	NSUM	42	42.N.C 42.S.C 42.U.V 42.M.c	2.0 1.5 1.3 0.8	n.¹/nʃʷo.⁵/om	0	242	- - n.¹/n ʃʷ o.⁵/o m
2609	MNJBuu4	blood	ǹʃóm / kə̀nʃómtə́	ǹʃóm	n.¹/n ʃ o.⁵/o m		4 3 7 4	ACYN	NSUM	28	28.N.C 28.S.C 28.U.V 28.M.c	2.0 1.5 1.3 0.8	n.¹/nʃo.⁵/om	0	242	- - n.¹/n ʃ o.⁵/o m
2610	KEMBuu1	blood	ʃyóːm / kə̀ʃyómtə́	ʃyóːm	ʃ j oː.⁵/oː m		3 6 7 4	ACXN	SJUM	20	20.S.C 20.J.C 20.U.V 20.M.c	2.0 1.5 1.5 0.8	ʃjoː.⁵/oːm	0	257	ʃ j oː.⁵/oː m
2611	KCYBuu2	blood	m̀ʃwóm / mə́nʃwóm	m̀ʃwóm	m.¹/m ʃ w o.⁵/o m		4 3 6 7 4	ACCYN	MSWUM	17	17.M.C 17.S.C 17.W.C 17.U.V 17.M.c	2.0 1.5 1.5 1.3 0.8	m.¹/mʃwo.⁵/om	0	240	m.¹/m ʃ w o.⁵/o - m
2612	KHKFang12	blood	lɪ́mə̄ / bə̀lɪ́mə̄	lɪ́mə̄	l ɪ.⁵/ɪ m ə.³/ə		5 7 4 7	AXBZ	LIME	22	22.L.C 22.I.V 22.M.C 22.E.V	2.0 1.5 1.75 0.8	lɪ.⁵/ɪmə.³/ə	0	247	l ɪ.⁵/ɪ m ə.³/ə
2613	DPNFang13	blood	lɪ́mə̄ / bə̀lɪ́mə̄	lɪ́mə̄	l ɪ.⁵/ɪ m ə.³/ə		5 7 4 7	AXBZ	LIME	10	10.L.C 10.I.V 10.M.C 10.E.V	2.0 1.5 1.75 0.8	lɪ.⁵/ɪmə.³/ə	0	247	l ɪ.⁵/ɪ m ə.³/ə
2614	KDVFang1	blood	lɪ́ːmə̄ (bə̀lɪ́ːmə̄)	lɪ́ːmə̄_	l ɪː.⁵/ɪː m ə.³/ə		5 7 4 7	AXBZ	LIME	19	19.L.C 19.I.V 19.M.C 19.E.V	2.0 1.5 1.75 0.8	lɪː.⁵/ɪːmə.³/ə	0	247	l ɪː.⁵/ɪː m ə.³/ə
2615	KJSFang2	blood	lɪ́ːmə̄ (bə̀lɪ́ːmə̄)	lɪ́ːmə̄_	l ɪː.⁵/ɪː m ə.³/ə		5 7 4 7	AXBZ	LIME	23	23.L.C 23.I.V 23.M.C 23.E.V	2.0 1.5 1.75 0.8	lɪː.⁵/ɪːmə.³/ə	0	247	l ɪː.⁵/ɪː m ə.³/ə
2616	JGYKoshin3	blood	ŋ́fṹə̃́ / ø	ŋ́fṹə̃́	ŋ.⁵/ŋ f ũ.⁵/ũ ə̃.⁵/ə̃		4 3 7 7	ACYZ	NBYE	14	14.N.C 14.B.C 14.Y.V 14.E.V	2.0 1.5 1.3 0.8	ŋ.⁵/ŋfũ.⁵/ũə̃.⁵/ə̃	0	238	ŋ.⁵/ŋ f - ũ.⁵/ũ ə̃.⁵/ə̃
2617	TELKoshin4	blood	ŋ́fṹə̃́ /  fṹã́	ŋ́fṹə̃́	ŋ.⁵/ŋ f ũ.⁵/ũ ə̃.⁵/ə̃		4 3 7 7	ACYZ	NBYE	46	46.N.C 46.B.C 46.Y.V 46.E.V	2.0 1.5 1.3 0.8	ŋ.⁵/ŋfũ.⁵/ũə̃.⁵/ə̃	0	238	ŋ.⁵/ŋ f - ũ.⁵/ũ ə̃.⁵/ə̃
2618	KCSKung3	blood	nâm / ǹnám	nâm	n a.⁵¹/a m		4 7 4	AXN	NAM	16	16.N.C 16.A.V 16.M.c	2.0 1.5 0.8	na.⁵¹/am	0	242	- - n - a.⁵¹/a m
2619	NJSKung4	blood	ǹnə́m / nɑ́mə̀	ǹnə́m	n.¹/n n ə.⁵/ə m		4 4 7 4	ACYN	NNEM	38	38.N.C 38.N.C 38.E.V 38.M.c	2.0 1.5 1.3 0.8	n.¹/nnə.⁵/əm	0	242	- - n.¹/n n ə.⁵/ə m
2620	ZKGKung1	blood	ǹnám / ǹnámmə̀	ǹnám	n.¹/n n a.⁵/a m		4 4 7 4	ACYN	NNAM	49	49.N.C 49.N.C 49.A.V 49.M.c	2.0 1.5 1.3 0.8	n.¹/nna.⁵/am	0	242	- - n.¹/n n a.⁵/a m
2621	BNMKung2	blood	ḿnə́m / ø	ḿnə́m	m.⁵/m n ə.⁵/ə m		4 4 7 4	ACYN	MNEM	7	7.M.C 7.N.C 7.E.V 7.M.c	2.0 1.5 1.3 0.8	m.⁵/mnə.⁵/əm	0	242	m.⁵/m - n - ə.⁵/ə m
2622	NMNMundabli3	blood	m̀fə́ɦm / m̀fə̄ɦm mɪ́	m̀fə́ɦm	m.¹/m f ə.⁵/ə ɦ m		4 3 7 3 4	ACYBC	MBEHM	40	40.M.C 40.B.C 40.E.V 40.H.C 40.M.C	2.0 1.5 1.3 1.75 1.5	m.¹/mfə.⁵/əɦm	0	240	m.¹/m f - ə.⁵/ə ɦ m
2623	CENMundabli2	blood	m̀fɒ́ɦm / m̀fɒ́ɦm	m̀fɒ́ɦm	m.¹/m f ɒ.⁵/ɒ ɦ m		4 3 7 3 4	ACYBC	MBOHM	8	8.M.C 8.B.C 8.O.V 8.H.C 8.M.C	2.0 1.5 1.3 1.75 1.5	m.¹/mfɒ.⁵/ɒɦm	0	240	m.¹/m f - ɒ.⁵/ɒ ɦ m
2624	LFNMundabli1	blood	m̄fám / m̄fāmmó	m̄fám	m.³/m f a.⁵/a m		4 3 7 4	ACYN	MBAM	25	25.M.C 25.B.C 25.A.V 25.M.c	2.0 1.5 1.3 0.8	m.³/mfa.⁵/am	0	240	m.³/m f - a.⁵/a - m
2625	NINMundabli4	blood	ḿfɒ́ɣm / fɒ́ɣmmɛ̄n	ḿfɒ́ɣm	m.⁵/m f ɒ.⁵/ɒ ɣ m		4 3 7 3 4	ACYBC	MBOGM	37	37.M.C 37.B.C 37.O.V 37.G.C 37.M.C	2.0 1.5 1.3 1.75 1.5	m.⁵/mfɒ.⁵/ɒɣm	0	240	m.⁵/m f - ɒ.⁵/ɒ ɣ m
2626	NGTMunken3	blood	ńʃām / ńʃâmə̀sə́	ńʃām	n.⁵/n ʃ a.³/a m		4 3 7 4	ACYN	NSAM	36	36.N.C 36.S.C 36.A.V 36.M.c	2.0 1.5 1.3 0.8	n.⁵/nʃa.³/am	0	242	- - n.⁵/n ʃ a.³/a m
2627	NUNMunken4	blood	ńʃām / ńʃámɪ̂	ńʃām	n.⁵/n ʃ a.³/a m		4 3 7 4	ACYN	NSAM	43	43.N.C 43.S.C 43.A.V 43.M.c	2.0 1.5 1.3 0.8	n.⁵/nʃa.³/am	0	242	- - n.⁵/n ʃ a.³/a m
