	a11londo	a121mbonge	a122bakundu	a141lefo	a151nkongho	a15ambuu	a15bmiengenwmanenguba	a15cakossi	a15celungcentralmanenguba	a15cmkaa	a15manenguba	a22bakweri	a24duala	a27malimba	a31bubi	a32cbatanga	a33ayasa	a34benga	a41barombikang	a42abo	a43abasaa	a44tunen	a45nyokon	a462yambeta	a46nomaande	a51bafiamaja	a53bafiarikpa	a54tibea	a601tuki	a61ngoroasom	a61ngorobisoo	a61ngorolunda	a621nubaca	a622nugunu	a62anuasue	a62anukalonge	a62bmmala	a62clibie	a63mangisa	a71eton	a72aewondo	a74abulu	a75afangbitam	a75afangmedouneu	a75afangminvoul	a803shiwa	a81kwasio	a832bekol	a83mekaa	a841badwe	a84njem	a85bbekwilmakokou	a85bbekwilmv	a86cmpiemo	a87bomwali	a91kwakum	a93kako	aghemgrassfields	b11ampongwe	b11borungu	b11cgalwa	b11ddyumba	b11fenenga	b201ndasa	b202sigu	b203samaye	b204ndambomoli	b204ndambomomassoukou	b204ndambomombadi	b21seki	b22akele	b22bkoya	b22bngom	b22emwesa	b23mbangwe	b24wumbvu	b251shake	b252mahongwe	b25kota	b301viya	b302himba	b304pinzi	b305vove	b31tsogo	b32kande	b404ngubi	b41shira	b42sangumb	b42sangumi	b43punu	b44lumbu	b501wanzie	b501wanzimo	b503vili	b51duma	b51dumala	b52nzebi	b53tsaangipoungi	b601lempini	b602kaninginord	b602kaningisud	b62mbaama	b63ndumu	b701atsitsege	b71aibtekeibalicongo	b71aletekeleconi	b71atekedj	b71atekeos	b77bfumu	b78wuumu	b81tiene	b82buma	b84mbunda	b85dnsongo	b85emput	b85yanzi	b861ngul	b862lwel	b863pindi	b864ngong	b865nzadi	b86dinga	b86dzing	bamungrassfields	bilejarawan	bwazzajarawan	c101baboledz	c101baboleep	c101babolema	c104aka	c105mbenga	c141bonyala	c142mondongo	c15bongili	c21ngare	c22akwa	c24koyo	c25abunji	c25bolee	c25condinga	c25eeboyi	c25mboshi	c302bolondo	c322zamba	c323mpama	c32bobangi	c34sakata	c36dlingala	c36gmonyongo	c36gmosange	c37ebudza	c401babati1919	c401pakabete	c412libobi	c41ngombe	c42ebwela	c43abaati	c44bwa	c52soko	c52soko1919	c54turumba1919	c55lokele	c61ekonda	c61mongo	c71tetela	c76ombo	c81dengese	c83bushong	c85wongo	d11mbole	d12lengola	d13metoko	d14enya	d201liko	d20bvamba1919	d211kango	d21baali	d23kibirakumu1919	d24songola	d25lega	d28holoholo	d304homa1919	d305nyangali	d308bodo2	d308ebodo	d311bila	d313mbuttu1919	d32bira	d32birabunia	d331bvanuma	d333ndaaka	d334mbo	d33nyali	d43nyanga	d55buyu	dugurijarawan	e46sonjo	e51kikuyu	e52embu	e52mbeere	e531muthambi	e531mwimbi	e53igoji	e53imenti	e53meru	e53meruimenti	e53merutig	e53miutini	e53tigania	e541chuka	e54tharaka	e55kamba	e55kambakitu	e55kambamach	e56daiso	e621bmachame	e621csiha	e621dkibosho	e622akimochi	e622clema	e622cmamba	e622cvunjo	e623akiseri	e623dkeni	e623mkuu	e64kahe	e65gweno	e701elwana	e71aupperpokomo	e72agiryama	e73digo	e74adawida	e74atuveta	f12bende	f21ntuzu	f21sukuma	f22nyamwezi	f23sumbwa	f24kimbu	f25bungu	f31nyiramba	f32nyaturucha	f32nyaturuwil	f33langi	fefegrassfields	g11gogo	g12kagulu	g22anorthpare	g22asu	g22bsouthpare	g23sambaa	g24bondei	g31zigua	g32doe	g32kwere	g33zaramo	g34nguungulu	g35luguru	g36kami	g37kutu	g39saghala	g401mwani	g412mwiini	g41bajuni	g42aamu	g42dunguja	g42swahili	g43kae	g44angazija	g44bndzwani	g44dmaore	g51pogoro	g52ndamba	g61sangu	g62hehe	g63bena	g64pangwa	g65kinga	g66wanji	h111hangala	h11beembe	h12civilicongo	h131kisundicongokimongo1988	h13kikunyi1989	h16akisikongo2013	h16akisolongodrc2012	h16bkindibu2013	h16cilinji	h16cimbala	h16cizobe	h16ckiyombedrc1982	h16cyombe	h16dciwoyodrc2012	h16flaadi	h16gkimpangu2012	h16gntandu	h16hkinkanu2012	h16kikongo	h16kimbatangidinga	h16kimbeko	h21akimbundu	h31yaka	h321soonde	h32suku	h41mbala	h42hunganna	jd53shi	jd62rundi	jd64shubi	jd65hangaza	jd66kiha	jd67kivinza	je11runyoro	je12rutooro	je13runyankore	je14rukiga	je15luganda	je16lusoga	je17gwere	je21runyambo	je22haya	je23zinza	je24kerebe	je25jita	je25kilegi	je25mkwaya	je31cbukusu	je31lumasaaba	je32luyia	je34samialugwe	je401ngoreme	je402ikizu	je403suba	je404shasi	je41maragoli	je42gusii	je43kuria	je43kuriamago	je43kuriatari	je44zanaki	je45nata	k11ciokwe	k14lwena	k15mbunda	k21lozi	k31luyana	k332rumanyo	k33kwangali	komgrassfields	kulungjarawan	l11pende	l12bholu	l13kwese	l221lwalwa	l23songe	l31alubakasai	l32kanyok	l33lubashaba	l34hemba	l35sanga	l41kaonde	l51salampasu	l52lunda	l53runda	l62nkoya	m11pimbwe	m12lungwa	m13fipa	m14rungu	m15mambwe	m21ndali	m21wanda	m22namwanga	m23nyiha	m24malila	m25safwa	m28lambya	m31nyakyusa	m41taabwa	m42bemba	m52lala	m54lamba	m61lenje	m62soli	m64tonga	mbulajarawan	moghamograssfields	mungakagrassfields	n11manda	n12ngoni	n13matengo	n14mpoto	n21tumbukamalawi	n31chewa	n42kunda	njengrassfields	okugrassfields	p11ndengeleko	p12rufiji	p13matumbi	p14ngindo	p15mbunga	p21yao	p22mwera	p23simakonde	p25mabia	p31emakhua	p31gikorovere	r11umbundu	r21kwanyama	r22ndonga	r31herero	s11shona	s16kalanga	s21venda	s311shekgalagari	s31tswana	s41xhosa	s42zulu	s44ndebele	s51tshwa	s53tsonga	tivtivoid	zaambojarawan
g	13	15	13	7	19	10	4	12	3	6	8	15	15	12	0	13	8	9	2	2	8	2	3	11	0	5	8	1	11	1	5	6	6	27	37	1	13	16	11	17	5	3	3	3	4	13	3	17	22	4	4	15	27	21	8	3	6	1	10	10	10	9	9	9	8	8	1	4	4	4	11	14	18	13	8	10	12	12	13	9	12	13	11	10	13	8	7	8	9	7	10	9	11	16	11	6	10	10	4	4	2	4	25	1	0	1	1	5	3	2	3	5	10	5	11	4	19	12	10	0	1	9	3	8	14	11	14	11	13	14	9	8	12	6	9	23	23	9	10	10	10	13	9	7	5	8	6	8	12	10	11	23	13	7	11	11	17	16	11	10	15	7	5	13	7	8	12	5	3	11	6	9	4	13	6	9	12	14	5	18	14	15	6	8	13	5	11	6	14	3	5	9	9	5	2	11	23	8	7	8	6	5	4	4	6	22	4	4	4	26	19	9	8	8	15	7	7	8	10	6	7	11	5	7	7	12	8	9	14	11	12	15	17	8	22	20	15	15	11	5	12	12	17	5	5	15	22	15	14	13	8	10	15	14	16	16	13	23	21	16	12	12	9	11	10	12	13	16	12	14	9	13	15	13	16	17	8	17	8	10	17	8	8	10	9	8	4	8	9	10	10	11	9	19	8	5	7	10	6	6	5	10	11	10	27	1	8	19	19	13	19	12	8	9	9	8	10	7	7	5	5	7	6	8	5	12	6	1	5	5	2	8	9	8	12	11	2	11	13	10	10	11	7	10	2	4	8	12	5	20	22	6	45	0	6	0	0	6	14	5	4	11	2	9	5	4	3	3	4	3	16	3	4	10	7	9	8	10	3	2	2	2	3	2	5	10	5	9	14	17	11	12	7	12	7	6	6	12	14	16	16	13	15	17	11	14	0	0	5	4	11	2	12	12	7	15	1	6	4	8	5	4	23	10
gʱ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gʲ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gʷ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g̊	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
h	0	0	0	0	2	0	4	6	7	2	0	0	0	9	7	6	5	14	0	0	20	14	2	2	12	0	0	0	4	0	8	3	13	2	3	0	0	11	1	0	0	0	0	0	0	0	0	0	14	6	6	0	0	1	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	1	0	0	0	0	12	15	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	5	2	0	1	0	0	0	0	0	4	4	10	0	5	0	0	2	0	1	3	6	4	0	0	0	3	0	0	1	0	0	11	0	10	0	3	0	0	0	1	18	0	0	18	22	0	0	0	0	9	0	0	0	0	0	1	0	12	0	7	0	0	5	0	0	4	0	3	2	3	2	0	2	9	0	2	0	0	7	30	3	14	11	0	0	0	0	0	0	6	8	9	0	0	1	11	0	7	1	0	6	18	6	12	0	9	2	7	3	5	10	7	1	9	12	13	2	8	7	7	8	7	3	1	2	0	15	11	4	18	8	7	13	6	6	6	6	4	3	14	14	10	6	20	5	2	1	2	1	1	1	1	1	10	8	6	9	4	9	5	6	25	5	7	2	0	0	6	2	9	4	4	2	4	2	0	0	6	0	9	0	9	0	5	8	7	14	7	2	5	5	13	5	4	6	6	4	5	7	5	6	0	6	0	5	7	5	5	0	1	0	0	23	26	18	3	8	20	4	4	0	4	6	3	4	21	13	13	0	12	3	6	13	0	4	11	5	4	14	3	0	6	1	8	2	10	5	19	0	28	0	0	1	0	1	1	0	1	2	10	6	3	1	0	4	13	9	12	0	0	1	0	0	8	11	18	15	12	16	11	0	1	0	0	0	16	10	0	5	9	2	20	7	4	12	9	7	16	25	33	18	1	19	19	28	21	18	24	4
hʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i	43	37	34	29	24	12	17	29	20	13	23	38	42	34	18	64	45	47	43	55	39	39	57	29	35	14	28	20	30	38	55	29	44	27	44	43	35	48	27	33	37	21	23	15	22	43	37	17	24	23	23	31	18	43	42	43	30	54	37	43	33	21	40	62	44	64	52	56	50	42	18	38	39	37	61	62	35	45	38	21	37	27	25	22	21	50	57	58	54	59	64	52	47	62	52	69	31	31	47	30	51	34	62	80	48	55	37	34	56	54	25	27	22	36	33	19	38	28	32	17	31	26	25	30	48	29	57	55	43	37	35	49	49	31	57	31	50	51	57	60	45	57	47	29	34	29	48	37	50	49	58	39	29	50	35	61	29	28	47	52	31	46	37	29	28	28	25	34	30	37	62	39	47	32	56	36	52	52	55	43	45	31	33	35	36	16	62	36	62	27	55	53	48	50	63	43	20	38	17	18	20	20	20	28	77	54	54	21	59	50	54	15	19	20	30	69	76	56	71	60	64	59	62	67	65	50	62	24	51	48	47	53	56	55	41	65	47	64	73	72	45	54	51	57	35	46	66	59	47	62	48	47	41	40	42	50	42	42	46	52	62	52	66	64	50	51	55	55	44	45	42	55	65	64	72	63	51	63	45	36	37	51	55	56	43	53	49	55	52	55	47	51	32	48	48	49	47	45	47	48	70	39	50	49	57	49	64	69	68	71	61	65	46	46	44	46	29	43	60	47	51	60	47	59	57	59	45	66	68	42	45	39	42	46	65	49	75	72	65	51	36	55	55	63	56	69	36	33	36	38	46	77	40	50	39	43	57	40	43	59	49	38	61	55	57	75	60	81	45	67	58	50	65	72	70	75	76	63	53	62	67	65	51	58	57	36	79	29	41	48	51	51	42	38	36	37	45	48	43	33	39	59	47	52	53	49	57	56	31	36	35	25	37	31	37	21	29	57	64	65	47	41	46	43
iˀ	0	0	0	4	6	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iː	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	1	0	8	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	3	3	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j	12	12	10	14	5	17	24	13	17	27	10	26	12	17	4	24	21	19	5	8	9	25	12	6	26	33	13	39	13	23	8	19	7	14	13	12	5	3	25	18	18	30	14	12	14	16	3	27	39	20	26	10	14	12	8	5	34	1	9	11	11	9	13	15	15	17	12	11	11	20	30	33	19	26	32	14	17	17	19	5	8	9	6	7	4	7	7	12	13	11	9	6	8	11	7	11	8	10	14	21	16	21	16	14	20	19	16	17	22	6	4	13	8	3	24	31	26	14	7	8	9	20	19	8	23	14	4	16	5	2	14	10	5	13	7	8	8	8	8	6	8	10	9	7	14	7	13	7	5	10	3	5	29	6	11	5	3	4	7	7	3	8	14	10	14	11	19	37	20	7	14	14	14	5	8	7	5	6	12	7	18	7	0	16	14	9	11	16	6	3	5	7	11	4	6	21	13	7	9	9	8	11	10	10	14	9	10	9	10	5	7	14	6	8	8	12	9	5	9	17	13	12	8	7	7	10	10	6	15	3	7	4	9	6	5	8	7	7	15	8	11	16	12	14	2	7	11	8	1	8	8	5	6	5	3	4	3	5	7	4	2	4	6	8	9	3	24	7	1	2	1	11	17	11	1	7	8	5	9	10	3	9	7	9	12	9	8	7	9	8	3	6	24	6	13	9	13	7	12	11	13	10	10	8	10	6	9	6	4	7	6	6	14	13	17	12	18	7	9	16	13	3	4	16	6	8	8	4	8	10	2	2	7	4	4	1	5	1	6	3	2	21	22	11	4	20	4	7	3	15	22	10	15	9	6	10	12	13	15	9	35	38	13	29	13	6	4	7	8	4	9	5	4	8	7	9	7	9	7	3	6	7	10	8	13	15	14	12	12	11	12	12	11	5	4	8	0	10	9	20	12	17	10	12	7	8	11	11	16	14	18	26	4	5	3	13	1	6	5	6	4	9	25	10
k	16	21	23	21	28	17	21	22	25	20	22	9	6	6	10	4	16	18	35	33	26	11	28	32	10	27	27	30	6	19	34	23	32	5	24	49	40	38	26	15	26	25	17	19	26	17	10	18	10	15	17	18	20	14	28	31	23	26	8	9	7	8	7	19	22	21	27	28	34	14	37	27	29	26	34	20	31	23	29	7	8	7	24	12	9	7	7	7	7	8	5	11	13	12	11	14	10	11	13	13	18	14	13	43	14	25	38	38	19	28	27	22	33	25	15	24	15	22	31	51	22	22	15	16	22	13	20	18	20	27	19	13	14	28	14	13	14	13	13	14	15	11	17	19	24	19	15	21	14	18	21	35	27	10	25	11	17	20	15	9	21	29	22	24	20	32	28	21	30	19	15	30	41	53	35	37	28	38	47	28	30	36	34	26	28	47	26	50	27	24	40	38	19	32	15	19	21	19	17	19	23	22	21	21	14	30	33	21	22	32	29	34	39	44	20	21	15	20	22	27	23	23	23	20	18	24	21	16	20	21	11	35	21	31	21	21	18	18	11	34	33	18	21	41	20	12	14	22	23	24	38	36	34	30	31	28	38	30	26	22	26	20	16	19	20	23	22	20	7	8	7	29	23	17	25	26	32	29	26	40	41	28	33	34	23	20	43	30	22	29	18	18	18	22	41	27	39	27	41	39	25	21	24	36	6	35	21	20	20	28	19	28	37	33	36	35	42	31	38	28	31	29	30	18	32	31	13	43	25	8	19	36	24	30	25	15	16	29	28	26	33	27	29	29	20	20	23	28	12	12	13	22	3	25	38	25	32	38	1	28	41	18	25	21	22	27	27	22	15	24	27	29	28	20	19	5	19	36	37	27	30	28	28	27	33	13	12	15	33	28	34	36	31	15	11	19	38	33	28	24	31	19	29	27	28	26	20	11	25	29	28	26	7	12	6	10	5	17	14	8	13	6	10	17
