ID	Concept	Doculect	Value	Tokens
3652	sky	B304_Pinzi	nooba	n o o b a
3653	sleep	B304_Pinzi	βiβinɔ	β i β i n ɔ
3654	smoke	B304_Pinzi	motsutsu	m o ts u ts u
3655	snake	B304_Pinzi	omamba	o m a m b a
3656	spear	B304_Pinzi	ŋgɔŋga	ŋ g ɔ ŋ g a
3657	steal	B304_Pinzi	mwifaɣa	m w i f a ɣ a
3658	stone	B304_Pinzi	tale	t a l e
3659	sun	B304_Pinzi	ekombe	e k o m b e
3660	tail	B304_Pinzi	mokondo	m o k o n d o
3661	ten	B304_Pinzi	ndzima	n d z i m a
3662	three	B304_Pinzi	tato	t a t o
3663	tongue	B304_Pinzi	nonenele	n o n e n e l e
3664	tooth	B304_Pinzi	inɔ	i n ɔ
3665	tree	B304_Pinzi	ɣetete	ɣ e t e t e
3666	two	B304_Pinzi	bale	b a l e
3667	urine	B304_Pinzi	mamiɲɛ	m a m i ɲ ɛ
3668	village	B304_Pinzi	ekala	e k a l a
3669	vomit	B304_Pinzi	motoβaɣa	m o t o β a ɣ a
3670	walk	B304_Pinzi	moɣɛndaɣa	m o ɣ ɛ n d a ɣ a
3671	war	B304_Pinzi	badi	b a d i
3672	water	B304_Pinzi	meeŋgo	m e e ŋ g o
3673	wind	B304_Pinzi	pɛpɛ	p ɛ p ɛ
3674	woman	B304_Pinzi	omwato	o m w a t o
3675	dew	B304_Pinzi	pɛmbɛ	p ɛ m b ɛ
3676	iron	B304_Pinzi	mosaɣo	m o s a ɣ o
3677	animal	B305_Vove	ɲama	ɲ a m a
3678	arm	B305_Vove	oɣɔɣɔ	o ɣ ɔ ɣ ɔ
3679	ashes	B305_Vove	mutu	m u t u
3680	bark	B305_Vove	soŋgo	s o ŋ g o
3681	bed	B305_Vove	taŋge	t a ŋ g e
3682	belly	B305_Vove	ebumu	e b u m u
3683	big	B305_Vove	daβa	d a β a
3684	bird	B305_Vove	ɲɔni	ɲ ɔ n i
3685	bite	B305_Vove	bakaka	b a k a k a
3686	blood	B305_Vove	ndzina	n d z i n a
3687	bone	B305_Vove	ɣyepa	ɣ j e p a
3688	breast	B305_Vove	ebɛnɛ	e b ɛ n ɛ
3689	burn	B305_Vove	tumbaka	t u m b a k a
3690	child	B305_Vove	mwana	m w a n a
3691	cloud	B305_Vove	boŋge	b o ŋ g e
3692	come	B305_Vove	dy-aka	d j a k a
3693	count	B305_Vove	taŋgaka	t a ŋ g a k a
3694	die	B305_Vove	ɣwaka	ɣ w a k a
3695	dog	B305_Vove	mbwande	m b w a n d e
3696	drink	B305_Vove	ɲwaka	ɲ w a k a
3697	ear	B305_Vove	ito	i t o
3698	eat	B305_Vove	aka	a k a
3699	egg	B305_Vove	ekɛyi	e k ɛ j i
3700	elephant	B305_Vove	ndzao	n d z a o
3701	eye	B305_Vove	iso	i s o
3702	face	B305_Vove	mbalaŋga	m b a l a ŋ g a
3703	fall	B305_Vove	laɣaka	l a ɣ a k a
3704	fat, oil	B305_Vove	madi	m a d i
3705	feather	B305_Vove	osala	o s a l a
3706	fingernail	B305_Vove	ɣwata	ɣ w a t a
3707	fire	B305_Vove	iko	i k o
3708	fire-wood	B305_Vove	ɣəɣoni	ɣ ə ɣ o n i
3709	fish	B305_Vove	tswe	ts w e
3710	five	B305_Vove	tane	t a n e
3711	fly	B305_Vove	βɛlaka	β ɛ l a k a
3712	four	B305_Vove	nai	n a i
3713	give	B305_Vove	kabaka	k a b a k a
3714	goat	B305_Vove	taba	t a b a
3715	ground, soil	B305_Vove	tɔtɔ	t ɔ t ɔ
3716	hair	B305_Vove	soɣe	s o ɣ e
3717	head	B305_Vove	motso	m o ts o
3718	hear	B305_Vove	okoko	o k o k o
3719	heart	B305_Vove	mutema	m u t e m a
3720	horn	B305_Vove	tseba	ts e b a
3721	house	B305_Vove	ndzobo	n d z o b o
3722	hunger	B305_Vove	indza	i n d z a
3723	intestine	B305_Vove	muya	m u j a
3724	kill	B305_Vove	bomaka	b o m a k a
3725	knee	B305_Vove	eβɔŋgɔ	e β ɔ ŋ g ɔ
3726	knife	B305_Vove	mbɛdi	m b ɛ d i
3727	know	B305_Vove	mɛɲaka	m ɛ ɲ a k a
3728	leaf	B305_Vove	oɣɛya	o ɣ ɛ j a
3729	leg	B305_Vove	ebɛɔ	e b ɛ ɔ
3730	liver	B305_Vove	cì-vú	c i v u
3731	louse	B305_Vove	tsidi	ts i d i
3732	man	B305_Vove	ebaɣa	e b a ɣ a
3733	moon	B305_Vove	tsoŋge	ts o ŋ g e
3734	mouth	B305_Vove	muɲa	m u ɲ a
3735	name	B305_Vove	ina	i n a
3736	navel	B305_Vove	mutɔŋgɔ	m u t ɔ ŋ g ɔ
3737	neck	B305_Vove	muŋgoŋga	m u ŋ g o ŋ g a
3738	night	B305_Vove	eβiti	e β i t i
3739	nose	B305_Vove	opombo	o p o m b o
3740	one	B305_Vove	pɔkɔ	p ɔ k ɔ
3741	person	B305_Vove	mutu	m u t u
3742	rain	B305_Vove	mbuwa	m b u w a
3743	road	B305_Vove	ndziya	n d z i j a
3744	root	B305_Vove	mwaŋgi	m w a ŋ g i
3745	salt	B305_Vove	kɛbɔ	k ɛ b ɔ
3746	sand	B305_Vove	musiɣe	m u s i ɣ e
3747	see	B305_Vove	ɛnaka	ɛ n a k a
3748	send	B305_Vove	tomaka	t o m a k a
3749	shame	B305_Vove	tsɔni	ts ɔ n i
3750	sing	B305_Vove	sembaka	s e m b a k a
3751	skin	B305_Vove	muɣɔbɔ	m u ɣ ɔ b ɔ
3752	sky	B305_Vove	loba	l o b a
3753	sleep	B305_Vove	βilo	β i l o
3754	smoke	B305_Vove	mututu	m u t u t u
3755	snake	B305_Vove	ɲɔɣɔ	ɲ ɔ ɣ ɔ
3756	spear	B305_Vove	ɔŋgɔ	ɔ ŋ g ɔ
3757	steal	B305_Vove	ibaka	i b a k a
3758	stone	B305_Vove	etaa	e t a a
3759	sun	B305_Vove	ombe	o m b e
3760	tail	B305_Vove	muɣɛɛ	m u ɣ ɛ ɛ
3761	ten	B305_Vove	ndzima	n d z i m a
3762	three	B305_Vove	tato	t a t o
3763	tongue	B305_Vove	oleme	o l e m e
3764	tooth	B305_Vove	ino	i n o
3765	tree	B305_Vove	mwete	m w e t e
3766	two	B305_Vove	bale	b a l e
3767	urine	B305_Vove	masoba	m a s o b a
3768	village	B305_Vove	ombo	o m b o
3769	vomit	B305_Vove	bondaka	b o n d a k a
3770	walk	B305_Vove	dyɔkɔ	d j ɔ k ɔ
3771	war	B305_Vove	obadi	o b a d i
3772	water	B305_Vove	mamba	m a m b a
3773	wind	B305_Vove	ɣəpɛpɛ	ɣ ə p ɛ p ɛ
3774	woman	B305_Vove	muɣɛtɔ	m u ɣ ɛ t ɔ
3775	dew	B305_Vove	eβɛmbi	e β ɛ m b i
3776	iron	B305_Vove	musaɣo	m u s a ɣ o
3777	animal	B21_Seki	sí:ŋì	s iː ŋ i
3778	arm	B21_Seki	ù:bɔ̂	u b ɔː
3779	ashes	B21_Seki	dìsùbú:kwɛ́	d i s u b uː k w ɛ
3780	bark	B21_Seki	yó:mbù	j oː m b u
3781	bed	B21_Seki	tà:ɲí	t a ɲ i
3782	belly	B21_Seki	dìbùmù	d i b u m u
3783	big	B21_Seki	-nɛ́nɛ́	n ɛ n ɛ
3784	bird	B21_Seki	nɔnu	n ɔ n u
3785	bite	B21_Seki	ákò:tɔ̀	a k o t ɔ
3786	blood	B21_Seki	màkì:yɔ́	m a k iː j ɔ
3787	bone	B21_Seki	yeesɔ	j e e s ɔ
3788	breast	B21_Seki	dìmɛ́:dì	d i m ɛː d i
3789	burn	B21_Seki	lóolɔ̀	l o o l ɔ
3790	child	B21_Seki	mɔ́:nɔ́	m ɔː n ɔ
3791	cloud	B21_Seki	ìβè:nzí	i β eː n z i
3792	come	B21_Seki	áβí:yɔ̀	a β iː j ɔ
3793	count	B21_Seki	átá:ŋɔ̀	a t aː ŋ ɔ
3794	die	B21_Seki	a-w-ɛ	a w ɛ
3795	dog	B21_Seki	mbwɛ́:	m b w ɛː
3796	drink	B21_Seki	á-nɔ́:t-ɔ̀	a n ɔː t ɔ
3797	ear	B21_Seki	dì:tɔ́	d iː t ɔ
3798	eat	B21_Seki	á:dyɛ̀	aː d j ɛ
3799	egg	B21_Seki	dike	d i k e
3800	elephant	B21_Seki	ndzɔ́:kù	n d z ɔː k u
3801	eye	B21_Seki	dì:sí	d iː s i
3802	face	B21_Seki	ù:sù	u s u
3803	fall	B21_Seki	á:kwɛ̀	aː k w ɛ
3804	fat, oil	B21_Seki	diβɔmɔ	d i β ɔ m ɔ
3805	feather	B21_Seki	ì:sá	iː s a
3806	fingernail	B21_Seki	dì:ɲá	d iː ɲ a
3807	fire	B21_Seki	vyɔɔnu	v j ɔ ɔ n u
3808	fire-wood	B21_Seki	tʃɔɔnu	tʃ ɔ ɔ n u
3809	fish	B21_Seki	mwá:mbì	m w aː m b i
3810	five	B21_Seki	bìtá:nì	b i t aː n i
3811	fly	B21_Seki	a-βɛβ-ɔ	a β ɛ β ɔ
3812	four	B21_Seki	bìnè	b i n e
3813	give	B21_Seki	á:βɛ̀	aː β ɛ
3814	goat	B21_Seki	imbodu	i m b o d u
3815	ground, soil	B21_Seki	dʒi	dʒ i
3816	hair	B21_Seki	ɲú:ɲɔ ~ nǔwó	ɲ uː ɲ ɔ
3817	head	B21_Seki	mó:tɛ̀	m oː t ɛ
3818	hear	B21_Seki	yoǒkɔ̀	j o o k ɔ
3819	heart	B21_Seki	té:mɔ́	t eː m ɔ
3820	horn	B21_Seki	sɛ́:mbwɛ̀	s ɛː m b w ɛ
3821	house	B21_Seki	dìtó:ŋɔ̀	d i t oː ŋ ɔ
3822	hunger	B21_Seki	dyó:ndɔ́	d j oː n d ɔ
3823	intestine	B21_Seki	divu	d i v u
3824	kill	B21_Seki	dìyò	d i j o
3825	knee	B21_Seki	dibɔ́:ŋú	d i b ɔː ŋ u
3826	knife	B21_Seki	sá:ká	s aː k a
3827	know	B21_Seki	a-demb-ɔ	a d e m b ɔ
3828	leaf	B21_Seki	mbɔ̀:dú	m b ɔ d u
3829	leg	B21_Seki	ùkò:lú	u k o l u
3830	liver	B21_Seki	ìsá:bɔ̀	i s aː b ɔ
3831	louse	B21_Seki	ní:nɔ́	n iː n ɔ
3832	man	B21_Seki	badumu	b a d u m u
3833	moon	B21_Seki	dà:ŋɔ̀	d a ŋ ɔ
3834	mouth	B21_Seki	dù:mbù	d u m b u
3835	name	B21_Seki	dìnɔ̀	d i n ɔ
3836	navel	B21_Seki	dyɔ́:bù	d j ɔː b u
3837	neck	B21_Seki	ŋgì:ŋi	ŋ g iː ŋ i
3838	night	B21_Seki	utsu	u ts u
3839	nose	B21_Seki	dyoyu	d j o j u
3840	one	B21_Seki	íβɔ́:tɛ̂	i β ɔː t ɛ
3841	person	B21_Seki	ù:mɔ́	u m ɔ
3842	rain	B21_Seki	mbú:yɔ́	m b uː j ɔ
3843	road	B21_Seki	nzé:	n z eː
3844	root	B21_Seki	ŋkããli	ŋ k ã ã l i
3845	sand	B21_Seki	disɛɲi	d i s ɛ ɲ i
3846	see	B21_Seki	yɛɛ̌nɔ́ .	j ɛ ɛ n ɔ
3847	send	B21_Seki	átó:mɔ̀	a t oː m ɔ
3848	shame	B21_Seki	ndʒɔnɔ	n dʒ ɔ n ɔ
3849	sing	B21_Seki	álá:ŋɔ̀	a l aː ŋ ɔ
3850	skin	B21_Seki	ikundɔ	i k u n d ɔ
3851	sky	B21_Seki	dyɔɔbɔ	d j ɔ ɔ b ɔ
3852	sleep	B21_Seki	-dɔ	d ɔ
3853	smoke	B21_Seki	βí:ɗì	β iː ɗ i
3854	snake	B21_Seki	myɔɔwɛ	m j ɔ ɔ w ɛ
3855	spear	B21_Seki	dìkɔ̀:ŋɔ́	d i k ɔ ŋ ɔ
3856	steal	B21_Seki	a-yib-ɔ	a j i b ɔ
3857	stone	B21_Seki	ditadi	d i t a d i
3858	sun	B21_Seki	βyó:sá	β j oː s a
3859	tail	B21_Seki	kó:nzù	k oː n z u
3860	ten	B21_Seki	dyó:mù	d j oː m u
3861	three	B21_Seki	bìtá:tsì	b i t aː ts i
3862	tongue	B21_Seki	dìdè:mì	d i d eː m i
3863	tooth	B21_Seki	dìsò:ŋɔ̀	d i s o ŋ ɔ
3864	tree	B21_Seki	yetʃi	j e tʃ i
3865	two	B21_Seki	bì:bà	b iː b a
3866	urine	B21_Seki	màsá:ndá	m a s aː n d a
3867	village	B21_Seki	dyà:dí	d j a d i
3868	vomit	B21_Seki	á:dò	aː d o
3869	walk	B21_Seki	á:kɛ̀	aː k ɛ
3870	war	B21_Seki	dibà:dí	d i b a d i
3871	water	B21_Seki	màdú:kú	m a d uː k u
3872	wind	B21_Seki	pù:ŋgá	p u ŋ g a
3873	woman	B21_Seki	mwá:dí	m w aː d i
3874	dew	B21_Seki	miɲɛŋgɛ	m i ɲ ɛ ŋ g ɛ
3875	iron	B21_Seki	waŋga	w a ŋ g a
3876	animal	B22a_Kele	tʃitʃi	tʃ i tʃ i
3877	arm	B22a_Kele	mbɔ	m b ɔ
3878	ashes	B22a_Kele	leʃupək	l e ʃ u p ə k
3879	bed	B22a_Kele	anɔŋe	a n ɔ ŋ e
3880	belly	B22a_Kele	mɔy	m ɔ j
3881	big	B22a_Kele	oðabɛ	o ð a b ɛ
3882	bird	B22a_Kele	inɔne	i n ɔ n e
3883	bite	B22a_Kele	o-kyɛl-yan	o k j ɛ l j a n
3884	blood	B22a_Kele	lekiða	l e k i ð a
3885	bone	B22a_Kele	ayiʃa	a j i ʃ a
3886	breast	B22a_Kele	lebɛð	l e b ɛ ð
3887	burn	B22a_Kele	o-dyeʃ-ik	o d j e ʃ i k
3888	child	B22a_Kele	myan	m j a n
3889	cloud	B22a_Kele	mkvu:ta	m k v u t a
3890	come	B22a_Kele	o-nʒak	o n ʒ a k
3891	count	B22a_Kele	o-laŋg	o l a ŋ g
3892	die	B22a_Kele	o-gw-ak	o g w a k
3893	dog	B22a_Kele	mbya	m b j a
3894	drink	B22a_Kele	o-nɔt-ɔk	o n ɔ t ɔ k
3895	ear	B22a_Kele	wɔlɛ	w ɔ l ɛ
3896	eat	B22a_Kele	o-dy-ak	o d j a k
3897	egg	B22a_Kele	dyake	d j a k e
3898	elephant	B22a_Kele	nʒɔk	n ʒ ɔ k
3899	eye	B22a_Kele	diʃ	d i ʃ
3900	face	B22a_Kele	boʃɛ	b o ʃ ɛ
3901	fall	B22a_Kele	o-kw-ak	o k w a k
3902	fat, oil	B22a_Kele	ləwɔŋ	l ə w ɔ ŋ
3903	feather	B22a_Kele	aʃala	a ʃ a l a
3904	fingernail	B22a_Kele	aɲal	a ɲ a l
3905	fire	B22a_Kele	iya	i j a
3906	fire-wood	B22a_Kele	indolo	i n d o l o
3907	fish	B22a_Kele	ʃɛ	ʃ ɛ
3908	five	B22a_Kele	tan	t a n
3909	fly	B22a_Kele	o-ðɛʃ-ik	o ð ɛ ʃ i k
3910	four	B22a_Kele	nay	n a j
3911	give	B22a_Kele	o-ðɛk	o ð ɛ k
3912	goat	B22a_Kele	ambol	a m b o l
3913	ground, soil	B22a_Kele	beʃɔpəkɔ	b e ʃ ɔ p ə k ɔ
3914	hair	B22a_Kele	laʃoyu	l a ʃ o j u
3915	head	B22a_Kele	laŋgɔk	l a ŋ g ɔ k
3916	hear	B22a_Kele	o-gyot-an	o g j o t a n
3917	heart	B22a_Kele	nlem	n l e m
3918	horn	B22a_Kele	nlak	n l a k
3919	house	B22a_Kele	mbaŋ	m b a ŋ
3920	hunger	B22a_Kele	nʒað	n ʒ a ð
3921	intestine	B22a_Kele	myɛð	m j ɛ ð
3922	kill	B22a_Kele	o-gyok	o g j o k
3923	knee	B22a_Kele	ləbɔŋɛ	l ə b ɔ ŋ ɛ
3924	knife	B22a_Kele	ʃake	ʃ a k e
3925	know	B22a_Kele	o-yek	o j e k
3926	leaf	B22a_Kele	ikay	i k a j
3927	leg	B22a_Kele	ŋkoθo	ŋ k o θ o
3928	liver	B22a_Kele	aʃɛk	a ʃ ɛ k
3929	louse	B22a_Kele	lanina	l a n i n a
3930	man	B22a_Kele	ʃaŋwɛ	ʃ a ŋ w ɛ
3931	moon	B22a_Kele	ŋgɔnd	ŋ g ɔ n d
3932	mouth	B22a_Kele	gwan	g w a n
3933	name	B22a_Kele	din	d i n
3934	navel	B22a_Kele	lətɔy	l ə t ɔ j
3935	neck	B22a_Kele	kiŋwɛ	k i ŋ w ɛ
3936	night	B22a_Kele	mpfom	m p f o m
3937	nose	B22a_Kele	dyuyu	d j u j u
3938	one	B22a_Kele	nwoto	n w o t o
3939	person	B22a_Kele	mut	m u t
3940	rain	B22a_Kele	mbvoða	m b v o ð a
3941	road	B22a_Kele	ʒɛða	ʒ ɛ ð a
3942	root	B22a_Kele	ŋkaŋga	ŋ k a ŋ g a
3943	salt	B22a_Kele	makemba	m a k e m b a
3944	sand	B22a_Kele	leʃɛj	l e ʃ ɛ j
3945	see	B22a_Kele	o-gyɛk ~ ugienekɛ	o g j ɛ k
3946	send	B22a_Kele	o-ðɛk	o ð ɛ k
3947	shame	B22a_Kele	ʃɔn	ʃ ɔ n
3948	sing	B22a_Kele	o-gyak	o g j a k
3949	skin	B22a_Kele	akonda	a k o n d a
3950	sky	B22a_Kele	ðob	ð o b
3951	sleep	B22a_Kele	iðɔ	i ð ɔ
3952	smoke	B22a_Kele	iyalyɛ	i j a l j ɛ
3953	snake	B22a_Kele	ɲɲɔ	ɲ ɲ ɔ
3954	spear	B22a_Kele	ləkɔŋɔ	l ə k ɔ ŋ ɔ
3955	steal	B22a_Kele	oyibək	o j i b ə k
3956	stone	B22a_Kele	ləkɔke	l ə k ɔ k e
3957	sun	B22a_Kele	yuʃa	j u ʃ a
3958	tail	B22a_Kele	ŋkondo	ŋ k o n d o
3959	ten	B22a_Kele	dyum	d j u m
3960	three	B22a_Kele	lal	l a l
3961	tongue	B22a_Kele	ðaðem	ð a ð e m
3962	tooth	B22a_Kele	leʃoŋa	l e ʃ o ŋ a
3963	tree	B22a_Kele	gyele	g j e l e
3964	two	B22a_Kele	ba	b a
3965	urine	B22a_Kele	mialye	m i a l j e
3966	village	B22a_Kele	akolo	a k o l o
3967	vomit	B22a_Kele	o-ðok	o ð o k
3968	walk	B22a_Kele	o-zand-ɛk	o z a n d ɛ k
3969	war	B22a_Kele	ləbale	l ə b a l e
3970	water	B22a_Kele	madiba	m a d i b a
3971	woman	B22a_Kele	omyale	o m j a l e
3972	dew	B22a_Kele	aʃopu	a ʃ o p u
3973	iron	B22a_Kele	gyobo	g j o b o
3974	animal	B24_Wumbvu	ɲama	ɲ a m a
3975	arm	B24_Wumbvu	bɔkɔ	b ɔ k ɔ
3976	ashes	B24_Wumbvu	iswiiki	i s w i i k i
3977	bark	B24_Wumbvu	ipalu	i p a l u
3978	bed	B24_Wumbvu	ilaka	i l a k a
3979	belly	B24_Wumbvu	mɔyi	m ɔ j i
3980	big	B24_Wumbvu	butu	b u t u
3981	bird	B24_Wumbvu	ɲodʒi	ɲ o dʒ i
3982	bite	B24_Wumbvu	u-luw-a	u l u w a
3983	blood	B24_Wumbvu	unsu	u n s u
3984	bone	B24_Wumbvu	isi	i s i
3985	breast	B24_Wumbvu	ibɛlɛ	i b ɛ l ɛ
3986	burn	B24_Wumbvu	u-buŋg-a	u b u ŋ g a
3987	child	B24_Wumbvu	ŋwana	ŋ w a n a
3988	cloud	B24_Wumbvu	liŋgutʃu	l i ŋ g u tʃ u
3989	come	B24_Wumbvu	yak-a	j a k a
3990	count	B24_Wumbvu	u-taŋg-a	u t a ŋ g a
3991	die	B24_Wumbvu	u-w-a	u w a
3992	dog	B24_Wumbvu	mvandi	m v a n d i
3993	drink	B24_Wumbvu	u-ɲw-a	u ɲ w a
3994	ear	B24_Wumbvu	iluyi	i l u j i
3995	eat	B24_Wumbvu	u-dʒa	u dʒ a
3996	egg	B24_Wumbvu	ibi	i b i
3997	elephant	B24_Wumbvu	nzɔku	n z ɔ k u
3998	eye	B24_Wumbvu	dʒisa	dʒ i s a
3999	face	B24_Wumbvu	busu	b u s u
4000	fall	B24_Wumbvu	u-naŋgw-ɛ	u n a ŋ g w ɛ
4001	fat, oil	B24_Wumbvu	iwɔŋgɔ	i w ɔ ŋ g ɔ
4002	feather	B24_Wumbvu	isala	i s a l a
4003	fingernail	B24_Wumbvu	liɲala	l i ɲ a l a
4004	fire	B24_Wumbvu	uɲa	u ɲ a
4005	fire-wood	B24_Wumbvu	likuyi	l i k u j i
4006	fish	B24_Wumbvu	swi	s w i
4007	five	B24_Wumbvu	taaɲi	t a a ɲ i
4008	fly	B24_Wumbvu	u-ful-umɛ	u f u l u m ɛ
4009	four	B24_Wumbvu	nayi	n a j i
4010	give	B24_Wumbvu	u-kab-a	u k a b a
4011	goat	B24_Wumbvu	taba	t a b a
4012	ground, soil	B24_Wumbvu	sɛndʒɛ	s ɛ n dʒ ɛ
4013	hair	B24_Wumbvu	liswiyi	l i s w i j i
4014	head	B24_Wumbvu	muulu	m u u l u
4015	hear	B24_Wumbvu	u-yuk-a	u j u k a
4016	heart	B24_Wumbvu	unlima	u n l i m a
4017	horn	B24_Wumbvu	isɛmbɛ	i s ɛ m b ɛ
4018	house	B24_Wumbvu	ndaku	n d a k u
4019	hunger	B24_Wumbvu	nzala	n z a l a
4020	intestine	B24_Wumbvu	ŋwila	ŋ w i l a
4021	kill	B24_Wumbvu	u-bum-a	u b u m a
4022	knee	B24_Wumbvu	ibɔŋgɔ	i b ɔ ŋ g ɔ
4023	knife	B24_Wumbvu	mbɛdʒi	m b ɛ dʒ i
4024	know	B24_Wumbvu	u-yib-a	u j i b a
4025	leaf	B24_Wumbvu	likayi	l i k a j i
4026	leg	B24_Wumbvu	kulu	k u l u
4027	liver	B24_Wumbvu	ibalu	i b a l u
4028	louse	B24_Wumbvu	sidʒɛ	s i dʒ ɛ
4029	man	B24_Wumbvu	ibaka	i b a k a
4030	moon	B24_Wumbvu	sundʒi	s u n dʒ i
4031	mouth	B24_Wumbvu	undʒumfu	u n dʒ u m f u
4032	name	B24_Wumbvu	kumfu	k u m f u
4033	navel	B24_Wumbvu	itɔŋgu	i t ɔ ŋ g u
4034	neck	B24_Wumbvu	tʃuŋgu	tʃ u ŋ g u
4035	night	B24_Wumbvu	pindʒi	p i n dʒ i
4036	nose	B24_Wumbvu	dʒulu	dʒ u l u
4037	one	B24_Wumbvu	ɔɔtu ~ yɔ-kɔtu	ɔ ɔ t u
4038	person	B24_Wumbvu	mutu	m u t u
4039	rain	B24_Wumbvu	mvula	m v u l a
4040	road	B24_Wumbvu	pɛyi	p ɛ j i
4041	root	B24_Wumbvu	uŋkaŋga	u ŋ k a ŋ g a
4042	salt	B24_Wumbvu	itsimba	i ts i m b a
4043	sand	B24_Wumbvu	unzɛyi	u n z ɛ j i
4044	see	B24_Wumbvu	u-yɛn-ɛ	u j ɛ n ɛ
4045	send	B24_Wumbvu	u-lum-a	u l u m a
4046	shame	B24_Wumbvu	sɔɲi	s ɔ ɲ i
4047	sing	B24_Wumbvu	u-yakw-ɛ	u j a k w ɛ
4048	skin	B24_Wumbvu	uŋkanza	u ŋ k a n z a
4049	sky	B24_Wumbvu	ikulu	i k u l u
4050	sleep	B24_Wumbvu	mbula	m b u l a
4051	smoke	B24_Wumbvu	tʃuku	tʃ u k u
4052	snake	B24_Wumbvu	tadʒi	t a dʒ i
4053	spear	B24_Wumbvu	ikɔŋgɔ	i k ɔ ŋ g ɔ
4054	steal	B24_Wumbvu	u-yub-a	u j u b a
4055	stone	B24_Wumbvu	imaɲa	i m a ɲ a
4056	sun	B24_Wumbvu	muusa	m u u s a
4057	tail	B24_Wumbvu	untsila	u n ts i l a
4058	ten	B24_Wumbvu	iku	i k u
4059	three	B24_Wumbvu	satu	s a t u
4060	tongue	B24_Wumbvu	ilimi	i l i m i
4061	tooth	B24_Wumbvu	dʒina	dʒ i n a
4062	tree	B24_Wumbvu	ŋwili	ŋ w i l i
4063	two	B24_Wumbvu	ɔlɛ	ɔ l ɛ
4064	urine	B24_Wumbvu	miɲɛ	m i ɲ ɛ
4065	village	B24_Wumbvu	mbuka	m b u k a
4066	vomit	B24_Wumbvu	u-sutʃ-ɛ	u s u tʃ ɛ
4067	walk	B24_Wumbvu	u-land-a	u l a n d a
4068	war	B24_Wumbvu	ibadʒi	i b a dʒ i
4069	water	B24_Wumbvu	maŋgu	m a ŋ g u
4070	wind	B24_Wumbvu	ipɛpɛ	i p ɛ p ɛ
4071	woman	B24_Wumbvu	mwadʒi	m w a dʒ i
4072	dew	B24_Wumbvu	inɔkɔ	i n ɔ k ɔ
4073	iron	B24_Wumbvu	tsɛyi	ts ɛ j i
4074	animal	B25_Kota	sito	s i t o
4075	arm	B25_Kota	obɔ	o b ɔ
4076	ashes	B25_Kota	ikuhu	i k u h u
4077	bark	B25_Kota	ebayi	e b a j i
4078	bed	B25_Kota	dʒako	dʒ a k o
4079	belly	B25_Kota	mwɛɲi	m w ɛ ɲ i
4080	big	B25_Kota	bonɛnɛ	b o n ɛ n ɛ
4081	bird	B25_Kota	iɲɔdʒi	i ɲ ɔ dʒ i
4082	bite	B25_Kota	bo-lum-aka	b o l u m a k a
4083	blood	B25_Kota	maza	m a z a
4084	bone	B25_Kota	ehe	e h e
4085	breast	B25_Kota	ibɛ	i b ɛ
4086	burn	B25_Kota	bo-tumb-aka	b o t u m b a k a
4087	child	B25_Kota	mwana	m w a n a
4088	cloud	B25_Kota	iŋgutu	i ŋ g u t u
4089	come	B25_Kota	bo-y-aka	b o j a k a
4090	count	B25_Kota	bo-laŋg-aka	b o l a ŋ g a k a
4091	die	B25_Kota	bo-w-aka	b o w a k a
4092	dog	B25_Kota	mbvwande	m b v w a n d e
4093	drink	B25_Kota	bo-ŋw-ak-a	b o ŋ w a k a
4094	ear	B25_Kota	ilɔ	i l ɔ
4095	eat	B25_Kota	bo-dy-ak-a	b o d j a k a
4096	egg	B25_Kota	itʃɛhi	i tʃ ɛ h i
4097	elephant	B25_Kota	zɔku	z ɔ k u
4098	eye	B25_Kota	dʒiyɔ	dʒ i j ɔ
4099	face	B25_Kota	boho	b o h o
4100	fall	B25_Kota	bo-tuw-aka	b o t u w a k a
4101	fat, oil	B25_Kota	madʒi	m a dʒ i
4102	feather	B25_Kota	dyaha	d j a h a
4103	fingernail	B25_Kota	oɲa	o ɲ a
4104	fire	B25_Kota	dʒiyo	dʒ i j o
4105	fire-wood	B25_Kota	weya	w e j a
4106	fish	B25_Kota	fɛ	f ɛ
4107	five	B25_Kota	ntaɲi	n t a ɲ i
4108	fly	B25_Kota	bo-saŋg-aka	b o s a ŋ g a k a
4109	four	B25_Kota	naɲi	n a ɲ i
4110	give	B25_Kota	bo-pɛh-ɛtʃyɛ	b o p ɛ h ɛ tʃ j ɛ
4111	goat	B25_Kota	etaba	e t a b a
4112	ground, soil	B25_Kota	hehe	h e h e
4113	hair	B25_Kota	ohuwe	o h u w e
4114	head	B25_Kota	molo	m o l o
4115	hear	B25_Kota	bo-yok-aka	b o j o k a k a
4116	heart	B25_Kota	nlema	n l e m a
4117	horn	B25_Kota	inlaka	i n l a k a
4118	house	B25_Kota	eloŋgwɛ	e l o ŋ g w ɛ
4119	hunger	B25_Kota	za	z a
4120	intestine	B25_Kota	myɛɲa	m j ɛ ɲ a
4121	kill	B25_Kota	bo-bom-aka	b o b o m a k a
4122	knee	B25_Kota	ibɔŋgɔ	i b ɔ ŋ g ɔ
4123	knife	B25_Kota	mbɛdʒi	m b ɛ dʒ i
4124	know	B25_Kota	bo-yeb-aka	b o j e b a k a
4125	leaf	B25_Kota	ikayi	i k a j i
